"userName","score","text","date"
"residualfail",5,"This was originally a 3 star for me because of what felt like a major character/weapon imbalance. I just replayed a few hours and it seems like there was some major rebalancing since my last playthrough. It feels like they brought the majority of the characters close to par with each other. THANK YOU! A couple character/weapon combos still seem a smidge op but balance is hard, and the devs managed to make ALL characters and weapons interesting! 5 out of 5, I want more moar maps now haha","2024-09-10T13:12:28.551Z"
"Barrie Corbitt",5,"How is it that the free version has more content than the premium one. I am not sure what exactly the developers are thinking here but I've pretty much unlocked everything on premium bar 1 weapon but here there's tons to do. Still a great game. There's more content in this version than in premium game it genuinely baffles me. If devs are reading this please add some sort of menu that's accessible during gameplay that tells the player what bonus can be obtained for combining the abilities thanks","2024-08-19T07:56:14.141Z"
"David Amos",5,"Bought this on PC the day it launched and it has come a long way. It was 5 stars when it first came out, and 5 stars now. Great game. Minimalistic visuals, fun upgrades, variety of enemies. Can't wait for their next game.","2024-09-10T04:07:26.659Z"
"Cedric Lindsey",5,"pretty fun without constantly drowning you in ads. 10 mins of gaming and I got to pick the ads I wanted to watch. and they came with some good rewards so this is actually a decent mobile game. unlike those others that are just ads with some idle gameplay.","2024-09-04T18:33:21.420Z"
"Jordan Cruz",5,"Excellent mobile shoot 'em up, a fair bit of difficulty and choice available. It's a battery killer, but functions well and is one of the first mobile games I've played that doesn't feel dumbed down.","2024-08-30T00:02:35.324Z"
"Conor Lively",5,"I have enjoyed playing this game. The game is difficult, but not too difficult. Unlocking characters and weapons seems balanced enough for me as some are purchased through in-game currencies and some require actual money. The gameplay is fun and exciting and the graphics add to the overall atmosphere of the game.","2024-07-17T04:47:14.259Z"
"havish nadella",5,"An Incredible Rogue-Like. The controls are simple and the synergies are fun. Mastering all the combos will take time. But it is well worth it. Truely a masterpiece in the genre.","2024-09-09T11:36:40.527Z"
"Juliet Sade",5,"Use this trick to complete all level's or stage's. Character:Lilith Weapon:Batgun Upgrade:Splinter Character upgrade:Necromancer The more you shoot bat's and they multiply each kill AND spawn that flying skull thingy and they multiply each kill, the more the FPS goes down pretty fast. And one more thing... Make your'e summoning damage high so it will multiply fast.","2024-08-17T02:56:34.300Z"
"Jemshal Johnpaul",5,"The best game i have ever tried.... there is a clear objective in this game that is very challenging and at the same time fun and satisfying but also a down side is that we might get addicted to it... this game has that much to give...","2024-08-20T16:18:23.939Z"
"Jasper Cain-Sweet",5,"Wonderful! I love the simplicity of the 12 colors(or more) unlike other games with much more colors, another thing is the pixelation is very nice because to me it makes it more appealing. this and more included with the chaos of what you can make with such combinations of upgrades, overall it's great!","2024-07-06T02:24:45.834Z"
"Jessey Mark Aranda",5,"This GAME in particular is truly one of a kind. Would like to have more Weapons, Maps, Characters, especially an Endless Mode would be a must. As i said best game to be made, looking forward for more updates!! W for the Game, W for the Devs.","2024-08-10T16:15:57.564Z"
"Ricky Donne",5,"Initially I was having some difficulty surviving 20 mins. After few tries, i got the hang of it. Gotta say you won't get bored because of the amazing replayability. You can also combine different characters and weapons and try experimenting.","2024-07-12T15:33:03.481Z"
"Bzc R_!",5,"I've known the game since it was in beta and it has grown to be a addictive game, you don't need much Internet to play, ""1 bar?"" Well it's okay.. ""Cosmetics?"" Yeah. ""Easy to understand?"" DEFINITELY! ""how about Free to play?"" Yeah. Overall the game is a massive win if you download, sooo fun.. (I think I'm addicted to it!)","2024-07-10T22:11:34.456Z"
"Luke Ang",5,"Fantastic game. I wish there were more synergies, like a ""close damage"" synergy with smite and glare, or a ""light and dark"" synergy with smite and curse. Some balancing is needed for some skills' scaling, for example smite's scaling is barely usable at higher darkness even with max HP whereas curse basically clears the screen. I would also love to be able to be more intentional with builds, such as by being able to choose a skill to permanently remove from the choice cool every few levels, etc.","2024-06-06T04:22:01.720Z"
"AJ Wilson",5,"Great shmup/rouge lite survival game with many different characters, weapons and abilities. Survive by killing enemies for 20 min while constantly upgrading. Different abilities unlock branch abilities, or combine for bonuses. Experiment with different combinations to find what works best for your play style Once you survive the difficulty gets a little harder the next round, up to 15 times. There are also 2 bonus locations to unlock, and some extra cosmetic stuff.","2024-05-26T00:45:16.311Z"
